MIN=0	-10	-10
MAX=40	10	10
SCALE=40	5	5
DEC=1	2	2
DEF="Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V
0	6,205	-0,015
0,101	6,19	-0,025
0,2	6,205	-0,01
0,301	6,21	-0,015
0,4	6,21	-0,005
0,501	6,195	-0,01
0,6	6,21	-0,005
0,701	6,205	-0,015
0,8	6,19	-0,005
0,901	6,21	-0,025
1,001	6,215	-0,005
1,1	6,215	-0,02
1,201	6,19	-0,01
1,3	6,205	-0,02
1,401	6,205	-0,01
1,5	6,205	-0,015
1,6	6,205	-0,01
1,7	6,2	-0,005
1,8	6,195	-0,01
1,9	6,19	-0,005
2	6,2	-0,02
2,1	6,205	-0,015
2,2	6,195	-0,005
2,299	6,2	-0,005
2,4	6,215	-0,01
2,5	6,205	-0,01
2,6	6,205	-0,015
2,7	6,215	-0,02
2,799	6,205	-0,015
2,9	6,215	-0,005
3	6,2	-0,01
3,1	6,205	2,475
3,2	6,205	2,475
3,3	6,205	2,465
3,4	6,195	2,465
3,5	6,165	2,485
3,599	6,15	2,485
3,7	6,155	2,475
3,8	6,15	2,47
3,901	6,145	2,47
4	6,13	2,47
4,1	6,13	2,48
4,201	6,135	2,465
4,3	6,14	2,48
4,4	6,13	2,48
4,5	6,14	2,475
4,6	6,14	2,48
4,7	6,145	2,47
4,799	6,145	2,485
4,9	6,135	2,465
5	6,155	2,48
5,1	6,15	2,485
5,2	6,155	2,475
5,3	6,165	2,47
5,4	6,175	2,47
5,501	6,165	2,485
5,6	6,15	2,48
5,701	6,15	2,475
5,8	6,15	2,485
5,9	6,16	2,485
6,001	6,17	2,47
6,1	6,16	2,48
6,199	6,18	2,485
6,3	6,17	2,465
6,4	6,18	2,485
6,5	6,185	2,47
6,601	6,17	2,48
6,7	6,175	2,47
6,801	6,175	2,46
6,9	6,165	2,48
6,999	6,165	2,465
7,1	6,165	2,475
7,201	6,165	2,47
7,3	6,16	2,475
7,4	6,175	2,465
7,5	6,175	2,465
7,6	6,175	2,47
7,701	6,16	2,475
7,8	6,155	2,48
7,899	6,16	2,46
8	6,175	2,475
8,1	6,165	2,47
8,2	6,175	2,46
8,3	6,175	2,47
8,4	6,175	2,465
8,501	6,17	2,47
8,6	6,16	2,48
8,7	6,16	2,48
8,799	6,16	2,475
8,9	6,17	2,47
9,001	6,15	2,485
9,1	6,15	2,48
9,2	6,155	2,475
9,3	6,15	2,47
9,4	6,155	2,47
9,5	6,155	2,47
9,601	6,15	2,485
9,7	6,155	2,47
9,8	6,15	2,48
9,9	6,15	2,475
10,001	6,14	2,48
10,1	6,14	2,475
10,201	6,16	2,47
10,301	6,15	2,46
10,4	6,15	2,475
10,5	6,145	2,48
10,6	6,155	2,475
10,699	6,16	2,48
10,8	6,15	2,475
10,9	6,16	2,465
11	6,15	2,48
11,1	6,15	2,465
11,2	6,15	2,475
11,3	6,155	2,475
11,4	6,155	2,465
11,5	6,15	2,48
11,6	6,15	2,47
11,7	6,15	2,48
11,8	6,15	2,475
11,9	6,155	2,47
12	6,155	2,47
12,1	6,15	2,47
12,201	6,15	2,48
12,3	6,16	2,465
12,4	6,15	2,475
12,5	6,155	2,475
12,6	6,155	2,475
12,7	6,155	2,48
12,801	6,16	2,48
12,901	6,155	2,48
13	6,155	2,475
13,1	6,155	2,47
13,201	6,14	2,475
13,3	6,15	2,48
13,4	6,155	2,47
13,5	6,145	2,48
13,6	6,16	2,475
13,701	6,165	2,475
13,8	6,16	2,48
13,901	6,185	2,47
14	6,195	2,475
14,101	6,2	2,475
14,2	6,205	2,46
14,3	6,225	2,465
14,4	6,245	2,475
14,5	6,245	2,475
14,6	6,255	2,465
14,699	6,27	2,475
14,8	6,295	2,47
14,901	6,29	2,48
15	6,305	2,47
15,1	6,31	2,475
15,2	6,335	2,47
15,3	6,345	2,465
15,401	6,36	2,47
15,5	6,375	2,47
15,599	6,375	2,48
15,7	6,38	2,485
15,801	6,395	2,475
15,903	6,4	2,48
16	6,425	2,48
16,101	6,42	2,475
16,201	6,445	2,475
16,3	6,46	2,475
16,4	6,47	2,475
16,5	6,46	2,475
16,6	6,485	2,475
16,699	6,5	2,475
16,799	6,505	2,485
16,899	6,525	2,465
17	6,53	2,47
17,1	6,545	2,465
17,2	6,54	2,475
17,3	6,565	2,475
17,399	6,575	2,48
17,5	6,585	2,475
17,6	6,595	2,475
17,7	6,6	2,47
17,8	6,6	2,48
17,9	6,61	2,475
18	6,63	2,475
18,1	6,64	2,475
18,2	6,66	2,47
18,301	6,66	2,46
18,4	6,68	2,475
18,5	6,695	2,475
18,6	6,7	2,475
18,701	6,715	2,47
18,801	6,73	2,47
18,9	6,745	2,47
19	6,75	2,47
19,101	6,755	2,48
19,2	6,76	2,475
19,3	6,78	2,465
19,401	6,79	2,465
19,5	6,805	2,46
19,6	6,81	2,47
19,7	6,805	2,465
19,801	6,825	2,47
19,9	6,835	2,46
20	6,845	2,48
20,1	6,85	2,47
20,201	6,865	2,475
20,3	6,87	2,485
20,4	6,895	2,47
20,5	6,885	2,47
20,6	6,905	2,465
20,699	6,91	2,475
20,8	6,92	2,47
20,9	6,93	2,475
21	6,94	2,465
21,101	6,94	2,475
21,2	6,95	2,475
21,301	6,97	2,46
21,4	6,985	2,475
21,5	6,98	2,475
21,599	7,005	2,48
21,7	7	2,48
21,8	7	2,48
21,899	7,015	2,475
21,999	7,03	2,485
22,1	7,05	2,485
22,2	7,055	2,48
22,3	7,065	2,475
22,4	7,07	2,49
22,501	7,08	2,485
22,601	7,085	2,485
22,7	7,085	2,48
22,8	7,105	2,485
22,901	7,115	2,49
23	7,12	2,485
23,101	7,125	2,48
23,201	7,14	2,485
23,301	7,155	2,475
23,4	7,15	2,48
23,5	7,17	2,47
23,599	7,185	2,485
23,699	7,195	2,48
23,8	7,2	2,465
23,9	7,2	2,475
24,001	7,215	2,475
