MIN=0	-10	-10
MAX=40	10	10
SCALE=40	5	5
DEC=1	2	2
DEF="Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V
0	6,74	4,685
0,1	6,745	4,685
0,2	6,745	4,685
0,3	6,725	4,685
0,4	6,745	4,695
0,5	6,745	4,685
0,6	6,75	4,685
0,699	6,745	4,675
0,8	6,725	4,685
0,9	6,735	4,685
0,999	6,755	4,685
1,1	6,745	4,675
1,2	6,725	4,675
1,3	6,745	4,675
1,4	6,735	4,675
1,499	6,735	4,685
1,6	6,74	4,69
1,699	6,73	4,68
1,799	6,745	4,68
1,9	6,74	4,685
2	6,735	4,68
2,1	6,735	4,69
2,199	6,725	4,67
2,3	6,715	4,685
2,4	6,725	4,685
2,499	6,715	4,685
2,6	6,735	4,675
2,7	6,72	4,675
2,799	6,725	4,685
2,9	6,725	4,685
3	6,735	4,68
3,099	6,72	4,69
3,199	6,725	4,685
3,299	6,73	4,68
3,4	6,71	4,68
3,5	6,72	4,675
3,6	6,725	4,685
3,7	6,725	4,68
3,799	6,72	4,68
3,9	6,72	4,68
4	6,71	4,685
4,099	6,725	4,685
4,199	6,72	4,685
4,3	6,71	4,685
4,399	6,725	4,675
4,5	6,715	4,675
4,599	6,72	4,685
4,7	6,7	4,685
4,799	6,715	4,685
4,9	6,71	4,685
5	6,695	4,685
5,099	6,715	4,685
5,2	6,71	4,685
5,3	6,71	4,675
5,399	6,715	4,685
5,5	6,7	4,685
5,599	6,715	4,685
5,7	6,715	4,675
5,799	6,7	4,68
5,9	6,705	4,685
5,999	6,705	4,68
6,099	6,7	4,685
6,2	6,705	4,685
6,3	6,705	4,67
6,399	6,7	4,67
6,5	6,705	4,68
6,599	6,7	4,67
6,699	6,7	4,675
6,8	6,7	4,675
6,9	6,69	4,68
7	6,69	4,685
7,1	6,665	4,685
7,2	6,645	4,68
7,299	6,665	4,675
7,399	6,665	4,685
7,5	6,685	4,675
7,6	6,695	4,675
7,7	6,69	4,685
7,8	6,71	4,685
7,9	6,725	4,68
8	6,725	4,68
8,099	6,755	4,68
8,199	6,765	4,675
8,299	6,775	4,685
8,4	6,8	4,675
8,499	6,805	4,68
8,599	6,825	4,685
8,7	6,835	4,685
8,799	6,855	4,67
8,9	6,875	4,685
8,999	6,885	4,685
9,1	6,89	4,685
9,199	6,9	4,68
9,3	6,935	4,685
9,4	6,955	4,675
9,5	6,965	4,685
9,6	6,975	4,675
9,7	7,005	4,68
9,799	7,02	4,685
9,899	7,035	4,685
10	7,065	4,68
10,099	7,075	4,68
10,2	7,08	4,685
10,3	7,115	4,675
10,399	7,115	4,685
10,501	7,12	4,68
10,6	7,15	4,675
10,7	7,185	4,675
10,799	7,205	4,675
10,899	7,215	4,68
11	7,23	4,675
11,1	7,26	4,665
11,2	7,28	4,675
11,3	7,305	4,67
11,399	7,315	4,675
11,5	7,335	4,665
11,599	7,36	4,685
11,699	7,37	4,685
11,799	7,39	4,68
11,9	7,42	4,68
12,001	7,435	4,68
12,1	7,45	4,675
12,2	7,475	4,68
12,301	7,475	4,67
12,399	7,505	4,68
12,499	7,52	4,67
12,6	7,54	4,685
12,7	7,565	4,675
12,8	7,58	4,67
12,9	7,59	4,685
12,999	7,62	4,685
13,1	7,635	4,675
13,201	7,64	4,685
13,3	7,675	4,685
13,4	7,695	4,685
13,499	7,715	4,675
13,6	7,73	4,68
13,699	7,745	4,685
13,8	7,75	4,685
13,9	7,78	4,685
14	7,785	4,68
14,1	7,82	4,685
14,199	7,84	4,685
14,3	7,85	4,675
14,4	7,875	4,685
14,5	7,9	4,675
14,6	7,9	4,685
14,699	7,93	4,675
14,8	7,945	4,675
14,899	7,955	4,685
15	7,975	4,675
15,099	7,995	4,675
15,2	8,025	4,685
15,299	8,03	4,675
15,399	8,04	4,68
15,499	8,07	4,685
15,6	8,09	4,675
15,7	8,115	4,68
15,8	8,12	4,675
15,899	8,145	4,685
16	8,15	4,685
16,101	8,175	4,68
16,2	8,195	4,675
16,3	8,215	4,685
16,399	8,23	4,685
16,5	8,255	4,685
16,6	8,26	4,675
16,699	8,285	4,685
16,8	8,305	4,675
16,9	8,315	4,68
17	8,325	4,68
17,1	8,34	4,685
17,2	8,36	4,675
17,299	8,375	4,685
17,4	8,39	4,68
17,5	8,415	4,67
17,599	8,42	4,67
17,699	8,43	4,685
17,8	8,45	4,685
17,9	8,485	4,685
18,001	8,485	4,685
18,101	8,51	4,675
18,2	8,535	4,685
18,3	8,545	4,685
18,399	8,55	4,675
18,5	8,58	4,69
18,6	8,59	4,675
18,699	8,61	4,67
18,801	8,625	4,68
18,899	8,635	4,68
18,999	8,635	4,675
19,1	8,635	4,68
19,2	8,635	4,685
19,299	8,635	4,68
19,399	8,635	4,685
19,5	8,645	4,68
19,599	8,645	4,67
19,699	8,63	4,685
19,8	8,635	4,675
19,899	8,64	4,685
20	8,63	4,685
20,099	8,635	4,675
20,199	8,645	4,68
20,299	8,64	4,685
20,401	8,64	4,68
20,499	8,635	4,68
20,6	8,64	4,685
20,7	8,645	4,68
20,8	8,63	4,68
20,901	8,645	4,685
21	8,64	4,685
21,099	8,64	4,69
21,2	8,62	4,685
21,299	8,635	4,685
21,401	8,65	4,675
21,5	8,64	4,685
21,599	8,635	4,67
21,7	8,645	4,685
21,8	8,645	4,685
21,899	8,635	4,685
21,999	8,635	4,68
22,1	8,645	4,685
22,199	8,645	4,675
22,3	8,635	4,68
22,399	8,63	4,68
22,499	8,63	4,675
22,599	8,645	4,685
22,7	8,645	4,675
22,799	8,64	4,675
22,9	8,645	4,685
23	8,63	4,685
23,1	8,64	4,68
23,199	8,64	4,685
23,3	8,63	4,68
23,4	8,645	4,675
23,499	8,645	4,675
23,599	8,635	4,675
23,7	8,63	4,685
23,8	8,63	4,685
23,899	8,635	4,68
24,001	8,64	4,675
24,1	8,64	4,685
24,199	8,63	4,685
