MIN=0	-10	-10
MAX=20	10	10
SCALE=20	5	5
DEC=1	2	2
DEF="Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V
0	4,34	-0,005
0,099	4,35	-0,01
0,199	4,35	-0,01
0,3	4,345	-0,005
0,4	4,35	-0,005
0,499	4,365	10,205
0,599	4,355	10,185
0,7	4,335	10,175
0,8	4,315	10,185
0,899	4,3	10,17
0,999	4,285	10,165
1,1	4,26	10,165
1,2	4,255	10,165
1,299	4,25	10,175
1,399	4,22	10,165
1,499	4,225	10,155
1,599	4,22	10,165
1,7	4,2	10,165
1,8	4,205	10,16
1,9	4,21	10,165
1,999	4,21	10,175
2,1	4,195	10,15
2,2	4,2	10,17
2,3	4,21	10,16
2,399	4,245	10,155
2,499	4,3	10,16
2,599	4,345	10,15
2,7	4,405	10,155
2,799	4,465	10,15
2,899	4,54	10,15
2,999	4,585	10,15
3,099	4,64	10,155
3,2	4,705	10,15
3,299	4,76	10,16
3,399	4,835	10,155
3,5	4,88	10,155
3,6	4,945	10,14
3,7	4,99	10,15
3,8	5,045	10,16
3,899	5,115	10,16
3,999	5,185	10,16
4,099	5,25	10,15
4,199	5,295	10,15
4,3	5,36	10,155
4,4	5,425	10,16
4,499	5,48	10,165
4,599	5,55	10,165
4,7	5,625	10,17
4,799	5,675	10,16
4,899	5,74	10,155
5	5,795	10,155
5,099	5,845	10,155
5,2	5,92	10,16
5,3	5,985	10,15
5,399	6,045	10,16
5,5	6,095	10,16
5,601	6,165	10,155
5,701	6,235	10,165
5,8	6,295	10,165
5,9	6,35	10,165
6,001	6,41	10,165
6,101	6,475	10,165
6,2	6,53	10,16
6,299	6,59	10,155
6,399	6,65	10,16
6,5	6,7	10,155
6,6	6,775	10,155
6,699	6,83	10,155
6,8	6,885	10,165
6,899	6,95	10,165
7	7,025	10,16
7,099	7,08	10,165
7,199	7,12	10,165
7,3	7,19	10,155
7,4	7,26	10,165
7,5	7,315	10,16
7,6	7,365	10,16
7,7	7,435	10,145
7,8	7,49	10,165
7,899	7,54	10,135
8	7,605	10,155
8,1	7,675	10,16
8,199	7,735	10,135
8,3	7,795	10,155
8,4	7,845	10,165
8,5	7,905	10,145
8,6	7,975	10,165
8,7	8,015	10,165
8,8	8,08	10,155
8,9	8,135	10,145
9	8,195	10,145
9,1	8,22	10,165
9,2	8,21	10,17
9,3	8,095	10,16
9,399	7,965	10,165
9,5	7,83	10,15
9,599	7,685	10,16
9,7	7,57	10,155
9,8	7,475	10,17
9,899	7,365	10,16
9,999	7,3	10,165
10,1	7,215	10,14
10,199	7,17	10,15
10,3	7,17	10,16
10,401	7,235	10,165
10,499	7,25	10,16
10,6	7,34	10,165
10,699	7,345	10,17
10,8	7,415	10,165
10,9	7,39	10,15
10,999	7,375	10,175
11,1	7,47	10,165
11,199	7,565	10,155
11,299	7,715	10,175
11,4	7,815	10,165
11,5	7,865	10,175
11,6	7,885	10,17
11,7	7,895	10,165
11,8	7,935	10,165
11,9	7,935	10,16
12	7,925	10,165
12,101	7,855	10,17
12,201	7,68	10,16
12,3	7,74	10,165
12,399	7,945	10,17
12,5	7,895	10,16
12,6	8,095	10,165
12,7	8,03	10,16
12,8	8,05	10,165
12,9	7,995	10,155
13	8,08	10,17
13,101	7,98	10,155
13,2	7,995	10,155
13,3	7,96	10,16
13,4	8,005	10,17
13,499	8	10,175
13,599	8,105	10,165
13,7	8,02	10,16
13,8	7,995	10,155
13,9	8,065	10,16
14	7,91	10,155
14,1	7,725	10,155
14,199	7,82	10,165
14,3	7,945	10,17
14,399	8,175	10,155
14,499	8,105	10,165
14,6	7,96	10,17
14,7	7,79	10,17
14,8	7,85	10,165
14,9	7,965	10,16
15	7,975	10,16
15,099	7,9	10,15
15,2	8,175	10,175
15,299	7,985	10,165
15,4	8,035	10,175
15,5	7,88	10,16
15,599	7,865	10,175
15,699	7,865	10,16
15,8	7,95	10,155
15,899	7,93	10,165
16	7,84	10,17
16,1	7,795	10,165
16,2	7,92	10,15
16,3	7,935	10,165
16,399	8,025	10,175
16,5	7,895	10,165
16,599	8,005	10,165
16,699	8,075	10,165
16,8	8,12	10,165
16,899	8,215	10,175
17	8,02	10,165
17,1	8,21	10,16
17,199	8,265	10,175
17,299	7,98	10,17
17,4	7,975	10,155
17,5	7,95	10,155
