MIN=0	-10	-10
MAX=16	10	10
SCALE=16	5	5
DEC=2	2	2
DEF="Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V
0	0	-0,005
0,02	-0,015	-0,015
0,04	-0,015	-0,015
0,06	-0,01	-0,01
0,08	-0,005	-0,01
0,1	0,005	0
0,12	0	0
0,14	-0,005	-0,005
0,16	-0,01	-0,01
0,18	0	-0,005
0,2	-0,005	-0,005
0,22	-0,005	-0,005
0,24	0,005	0
0,26	0	-0,005
0,28	-0,01	-0,01
0,3	-0,015	-0,015
0,32	0	0
0,34	0	0
0,36	0	-0,005
0,38	0	-0,005
0,4	0,005	0
0,42	-0,015	-0,015
0,44	0	-0,005
0,46	0	-0,005
0,48	0	-0,005
0,5	-0,005	-0,005
0,52	8,365	-0,025
0,54	8,365	-0,025
0,56	8,365	-0,015
0,58	8,37	-0,015
0,6	8,365	-0,025
0,62	8,365	-0,025
0,64	8,375	-0,015
0,66	8,37	-0,015
0,68	8,37	-0,015
0,7	8,385	0
0,72	8,385	0
0,74	8,38	-0,005
0,76	8,37	-0,015
0,78	8,38	-0,005
0,8	8,38	-0,005
0,82	8,365	-0,015
0,84	8,38	-0,005
0,86	8,37	-0,015
0,88	8,365	-0,025
0,9	8,36	0,125
0,92	8,385	0,125
0,94	8,38	0,1
0,96	8,38	0,085
0,98	8,385	0,07
1	8,38	0,05
1,02	8,385	0,045
1,04	8,385	0,19
1,06	8,38	0,15
1,08	8,38	0,13
1,1	8,375	0,155
1,12	8,37	0,215
1,14	8,37	0,175
1,16	8,37	0,27
1,18	8,37	0,25
1,2	8,38	0,215
1,22	8,38	0,32
1,24	8,38	0,29
1,26	8,38	0,36
1,28	8,38	0,43
1,3	8,365	0,365
1,32	8,37	0,45
1,34	8,385	0,52
1,36	8,38	0,45
1,38	8,375	0,5
1,4	8,375	0,565
1,42	8,38	0,625
1,44	8,37	0,655
1,46	8,375	0,69
1,48	8,385	0,74
1,5	8,38	0,76
1,52	8,37	0,785
1,54	8,37	0,795
1,56	8,375	0,81
1,58	8,37	0,895
1,6	8,375	0,945
1,62	8,375	0,945
1,64	8,37	1,015
1,66	8,365	1,04
1,68	8,365	1,075
1,7	8,385	1,135
1,72	8,385	1,2
1,74	8,385	1,195
1,76	8,385	1,275
1,78	8,38	1,325
1,8	8,37	1,32
1,82	8,375	1,355
1,84	8,375	1,41
1,86	8,37	1,455
1,88	8,37	1,5
1,9	8,38	1,55
1,92	8,385	1,59
1,94	8,38	1,62
1,96	8,38	1,7
1,98	8,38	1,76
2	8,38	1,78
2,02	8,38	1,835
2,04	8,385	1,89
2,06	8,38	1,895
2,08	8,38	1,98
2,1	8,38	2,01
2,12	8,375	2,045
2,14	8,37	2,105
2,16	8,375	2,14
2,18	8,37	2,165
2,2	8,37	2,225
2,22	8,365	2,275
2,24	8,365	2,325
2,26	8,375	2,38
2,28	8,385	2,43
2,3	8,38	2,46
2,32	8,38	2,5
2,34	8,38	2,54
2,36	8,38	2,62
2,38	8,385	2,66
2,4	8,38	2,675
2,42	8,38	2,75
2,44	8,385	2,78
2,46	8,38	2,84
2,48	8,39	2,865
2,5	8,375	2,92
2,52	8,375	2,955
2,54	8,365	2,975
2,56	8,365	3,04
2,58	8,375	3,1
2,6	8,37	3,135
2,62	8,365	3,17
2,64	8,38	3,22
2,66	8,38	3,265
2,68	8,365	3,295
2,7	8,375	3,35
2,72	8,375	3,395
2,74	8,38	3,44
2,76	8,385	3,465
2,78	8,375	3,505
2,8	8,385	3,57
2,82	8,385	3,59
2,84	8,385	3,64
2,86	8,38	3,675
2,88	8,38	3,71
2,9	8,375	3,74
2,92	8,38	3,785
2,94	8,38	3,81
2,96	8,38	3,865
2,98	8,38	3,9
3	8,38	3,92
3,02	8,38	3,97
3,04	8,385	4,015
3,06	8,38	4,05
3,08	8,38	4,075
3,1	8,365	4,09
3,12	8,375	4,13
3,14	8,38	4,18
3,16	8,38	4,22
3,18	8,38	4,255
3,2	8,38	4,29
3,22	8,38	4,32
3,24	8,38	4,34
3,26	8,38	4,36
3,28	8,38	4,4
3,3	8,365	4,43
3,32	8,375	4,455
3,34	8,385	4,49
3,36	8,39	4,535
3,38	8,38	4,54
3,4	8,38	4,59
3,42	8,37	4,595
3,44	8,37	4,63
3,46	8,38	4,66
3,48	8,38	4,7
3,5	8,375	4,695
3,52	8,365	4,73
3,54	8,375	4,765
3,56	8,38	4,785
3,58	8,38	4,83
3,6	8,385	4,85
3,62	8,385	4,86
3,64	8,385	4,89
3,66	8,38	4,92
3,68	8,385	4,95
3,7	8,38	4,96
3,72	8,375	4,975
3,74	8,365	4,985
3,76	8,37	5,015
3,78	8,365	5,03
3,8	8,375	5,065
3,82	8,37	5,08
3,84	8,36	5,09
3,86	8,375	5,13
3,88	8,385	5,16
3,9	8,38	5,19
3,92	8,38	5,205
3,94	8,365	5,21
3,96	8,375	5,245
3,98	8,37	5,26
4	8,375	5,27
4,02	8,38	5,3
4,04	8,37	5,32
4,06	8,385	5,35
4,08	8,385	5,355
4,1	8,38	5,38
4,12	8,375	5,395
4,14	8,365	5,395
