MIN=0	0	-10	-10
MAX=40	1	10	10
SCALE=40	0,5	5	5
DEC=1	0	2	2
DEF="Tiempo" t / s	"Nivel" I_2	"Tensión" U_A1 / V	"Tensión" U_B1 / V
0	0	0,615	-0,005
0,101	0	0,61	-0,02
0,2	0	0,6	-0,01
0,3	0	0,6	0
0,401	0	0,615	-0,005
0,5	0	0,615	-0,01
0,601	0	0,615	-0,005
0,701	0	0,6	-0,005
0,8	0	0,605	0
0,901	0	0,605	5,645
1,001	0	0,58	5,65
1,101	0	0,535	5,65
1,201	0	0,545	5,645
1,3	0	0,56	5,635
1,4	0	0,565	5,65
1,5	0	0,575	5,655
1,601	0	0,565	5,655
1,701	0	0,585	5,65
1,8	0	0,58	5,645
1,901	0	0,545	5,645
2	0	0,525	5,65
2,1	0	0,515	5,65
2,2	0	0,5	5,64
2,3	0	0,51	5,64
2,4	0	0,5	5,645
2,501	0	0,505	5,645
2,601	0	0,495	5,64
2,7	0	0,505	5,655
2,8	0	0,5	5,64
2,9	0	0,495	5,64
3	0	0,495	5,64
3,1	0	0,49	5,645
3,201	0	0,495	5,655
3,301	0	0,48	5,64
3,4	0	0,485	5,655
3,501	0	0,485	5,64
3,6	0	0,495	5,635
3,7	0	0,48	5,645
3,801	0	0,49	5,655
3,901	0	0,475	5,64
4	0	0,48	5,64
4,1	0	0,485	5,64
4,2	0	0,48	5,635
4,301	0	0,505	5,64
4,4	0	0,535	5,64
4,5	0	0,56	5,64
4,6	0	0,6	5,64
4,701	0	0,645	5,645
4,8	0	0,685	5,645
4,9	0	0,715	5,64
5,001	0	0,77	5,64
5,1	0	0,79	5,655
5,201	0	0,835	5,64
5,3	0	0,87	5,645
5,401	0	0,91	5,65
5,5	0	0,95	5,645
5,601	0	0,995	5,645
5,7	0	1,03	5,635
5,8	0	1,075	5,64
5,899	0	1,105	5,655
6	0	1,145	5,65
6,1	0	1,17	5,65
6,2	0	1,215	5,645
6,3	0	1,24	5,63
6,4	0	1,28	5,635
6,499	0	1,325	5,64
6,6	0	1,36	5,635
6,701	0	1,38	5,655
6,8	0	1,425	5,65
6,901	0	1,445	5,645
7	0	1,485	5,64
