MIN=0	0	-10	-10
MAX=28,2842712474619	1	10	10
SCALE=28,2842712474619	0,5	5	5
DEC=1	0	2	2
DEF="Tiempo" t / s	"Nivel" I_2	"Tensión" U_A1 / V	"Tensión" U_B1 / V
0	0	0,755	-0,005
0,1	0	0,74	-0,005
0,201	0	0,745	-0,005
0,3	0	0,745	-0,015
0,4	0	0,74	-0,01
0,5	0	0,75	7,93
0,599	0	0,72	7,925
0,7	0	0,68	7,92
0,8	0	0,61	7,925
0,9	0	0,485	7,925
1	0	0,43	7,93
1,1	0	0,545	7,92
1,2	0	0,58	7,92
1,3	0	0,595	7,925
1,4	0	0,6	7,925
1,5	0	0,605	7,93
1,6	0	0,615	7,915
1,7	0	0,615	7,92
1,8	0	0,625	7,93
1,9	0	0,63	7,925
2,001	0	0,635	7,92
2,1	0	0,635	7,93
2,2	0	0,625	7,91
2,3	0	0,64	7,92
2,401	0	0,645	7,915
2,5	0	0,675	7,93
2,599	0	0,7	7,925
2,7	0	0,75	7,93
2,8	0	0,8	7,935
2,9	0	0,855	7,915
2,999	0	0,91	7,92
3,1	0	0,965	7,92
3,201	0	1	7,935
3,3	0	1,06	7,93
3,4	0	1,11	7,935
3,499	0	1,17	7,93
3,6	0	1,215	7,925
3,699	0	1,265	7,925
3,8	0	1,315	7,925
3,9	0	1,365	7,92
4,001	0	1,39	7,93
4,1	0	1,44	7,935
4,201	0	1,505	7,925
4,3	0	1,545	7,935
4,4	0	1,59	7,935
4,5	0	1,64	7,935
4,6	0	1,69	7,915
4,7	0	1,725	7,915
4,8	0	1,76	7,925
4,9	0	1,825	7,915
5	0	1,86	7,925
5,1	0	1,905	7,925
5,2	0	1,945	7,915
5,301	0	1,985	7,92
5,4	0	2,025	7,93
5,5	0	2,055	7,925
5,6	0	2,11	7,925
5,7	0	2,155	7,92
5,8	0	2,19	7,935
5,9	0	2,235	7,92
6	0	2,28	7,92
6,101	0	2,32	7,925
6,2	0	2,35	7,925
6,301	0	2,395	7,93
6,4	0	2,44	7,925
6,5	0	2,485	7,935
6,6	0	2,51	7,935
6,7	0	2,565	7,925
6,8	0	2,605	7,915
6,9	0	2,63	7,925
7	0	2,67	7,925
7,1	0	2,72	7,925
7,2	0	2,765	7,92
7,299	0	2,805	7,93
7,4	0	2,85	7,935
7,5	0	2,895	7,925
7,601	0	2,92	7,93
7,7	0	2,985	7,925
7,801	0	3,015	7,925
7,9	0	3,055	7,925
8	0	3,085	7,935
8,1	0	3,135	7,93
8,2	0	3,185	7,92
8,3	0	3,22	7,925
8,4	0	3,24	7,93
8,501	0	3,295	7,915
8,6	0	3,33	7,935
8,701	0	3,365	7,93
8,8	0	3,405	7,925
8,9	0	3,425	7,935
9	0	3,46	7,925
9,1	0	3,5	7,925
9,2	0	3,54	7,915
9,3	0	3,585	7,92
9,401	0	3,615	7,915
9,5	0	3,635	7,925
9,6	0	3,68	7,925
9,7	0	3,71	7,915
9,8	0	3,75	7,925
9,901	0	3,785	7,93
10	0	3,825	7,925
10,1	0	3,845	7,93
10,2	0	3,895	7,92
10,301	0	3,925	7,92
10,4	0	3,965	7,925
10,5	0	4	7,92
10,601	0	4,035	7,91
10,7	0	4,07	7,925
10,8	0	4,1	7,92
10,9	0	4,13	7,925
11	0	4,16	7,92
11,1	0	4,205	7,91
11,2	0	4,24	7,92
11,3	0	4,27	7,925
11,4	0	4,305	7,92
11,5	0	4,35	7,92
11,599	0	4,375	7,925
11,699	0	4,405	7,925
11,8	0	4,44	7,93
11,9	0	4,47	7,925
11,999	0	4,5	7,925
12,099	0	4,54	7,935
12,2	0	4,585	7,925
12,3	0	4,61	7,93
12,399	0	4,64	7,925
12,5	0	4,685	7,92
12,601	0	4,71	7,925
12,701	0	4,73	7,925
12,8	0	4,77	7,925
12,901	0	4,805	7,925
13	0	4,84	7,935
13,1	0	4,885	7,925
13,201	0	4,905	7,925
13,3	0	4,945	7,92
13,401	0	4,97	7,915
13,5	0	4,965	7,93
13,6	0	4,93	7,92
13,7	0	4,895	7,925
13,8	0	4,835	7,92
13,9	0	4,745	7,915
14	0	4,66	7,92
14,1	0	4,56	7,925
14,2	0	4,445	7,93
14,3	0	4,37	7,925
14,4	0	4,315	7,925
14,499	0	4,24	7,91
14,6	0	4,23	7,92
14,7	0	4,24	7,935
14,8	0	4,24	7,935
14,901	0	4,285	7,925
15	0	4,315	7,93
15,1	0	4,36	7,93
15,199	0	4,385	7,915
15,3	0	4,415	7,93
15,401	0	4,45	7,925
15,501	0	4,495	7,92
15,6	0	4,495	7,925
15,702	0	4,51	7,925
15,8	0	4,535	7,92
15,901	0	4,55	7,925
16,001	0	4,56	7,925
16,099	0	4,54	7,935
16,2	0	4,555	7,925
16,301	0	4,56	7,92
16,4	0	4,63	7,935
16,501	0	4,625	7,925
16,6	0	4,64	7,925
16,7	0	4,64	7,925
16,8	0	4,58	7,925
16,901	0	4,615	7,915
17,001	0	4,655	7,92
17,1	0	4,69	7,935
17,2	0	4,69	7,915
17,3	0	4,74	7,935
17,4	0	4,73	7,925
17,501	0	4,695	7,935
17,6	0	4,705	7,92
17,7	0	4,76	7,93
17,8	0	4,79	7,925
17,899	0	4,75	7,915
18	0	4,75	7,935
18,1	0	4,785	7,92
18,2	0	4,735	7,93
18,3	0	4,835	7,92
18,4	0	4,845	7,915
18,499	0	4,85	7,925
18,599	0	4,865	7,92
18,7	0	4,895	7,92
18,8	0	4,86	7,935
18,899	0	4,825	7,915
19	0	4,835	7,925
19,099	0	4,865	7,915
19,2	0	4,88	7,925
19,3	0	4,83	7,91
19,4	0	4,85	7,92
19,5	0	4,86	7,935
19,6	0	4,885	7,92
19,7	0	4,88	7,935
19,8	0	4,9	7,93
19,9	0	4,925	7,925
20	0	4,92	7,925
20,1	0	4,935	7,925
20,199	0	4,925	7,925
20,3	0	4,925	7,925
20,4	0	4,915	7,92
20,5	0	4,965	7,93
20,601	0	4,95	7,935
20,701	0	4,925	7,925
20,8	0	4,945	7,925
20,9	0	4,93	7,92
21,001	0	4,92	7,935
21,1	0	4,94	7,915
21,201	0	5,02	7,925
21,3	0	5,06	7,935
21,399	0	5,015	0
21,5	0	5,08	-0,015
21,6	0	5,315	0
21,7	0	5,475	-0,015
