MIN=0	0	-10	-10
MAX=28,2842712474619	1	10	10
SCALE=28,2842712474619	0,5	5	5
DEC=1	0	2	2
DEF="Tiempo" t / s	"Nivel" I_2	"Tensión" U_A1 / V	"Tensión" U_B1 / V
0	0	3,195	-0,01
0,1	0	3,195	0
0,199	0	3,185	0
0,301	0	3,175	-0,01
0,4	0	3,175	-0,01
0,5	0	3,175	-0,01
0,601	0	3,165	-0,015
0,7	0	3,155	-0,005
0,8	0	3,16	-0,005
0,9	0	3,155	-0,01
1	0	3,14	0
1,1	0	3,13	0
1,199	0	3,15	-0,02
1,3	0	3,145	-0,01
1,401	0	3,13	0
1,5	0	3,135	-0,01
1,6	0	3,135	-0,01
1,7	0	3,13	-0,015
1,8	0	3,11	-0,005
1,901	0	3,12	-0,005
2,001	0	3,1	-0,005
2,1	0	3,11	-0,005
2,199	0	3,095	-0,015
2,299	0	3,1	-0,01
2,4	0	3,105	-0,01
2,5	0	3,1	-0,01
2,6	0	3,08	-0,005
2,7	0	3,09	10,21
2,799	0	3,05	10,2
2,9	0	3,035	10,215
3	0	3,025	10,215
3,099	0	3,035	10,215
3,2	0	3,02	10,2
3,3	0	3,015	10,205
3,401	0	2,935	10,215
3,5	0	2,775	10,215
3,6	0	2,705	10,21
3,701	0	2,675	10,205
3,801	0	2,69	10,205
3,9	0	2,685	10,22
4	0	2,7	10,215
4,1	0	2,705	10,21
4,199	0	2,725	10,2
4,301	0	2,725	10,22
4,4	0	2,73	10,205
4,501	0	2,725	10,215
4,6	0	2,725	10,215
4,701	0	2,715	10,205
4,8	0	2,715	10,22
4,901	0	2,71	10,21
5	0	2,725	10,21
5,101	0	2,77	10,205
5,201	0	2,825	10,22
5,3	0	2,88	10,2
5,4	0	2,95	10,215
5,5	0	3,01	10,21
5,601	0	3,085	10,205
5,7	0	3,14	10,215
5,801	0	3,215	10,215
5,9	0	3,275	10,215
6	0	3,34	10,215
6,101	0	3,415	10,21
6,201	0	3,48	10,215
6,3	0	3,535	10,215
6,4	0	3,595	10,21
6,5	0	3,645	10,22
6,6	0	3,72	10,21
6,7	0	3,785	10,195
6,801	0	3,845	10,215
6,901	0	3,9	10,2
7	0	3,975	10,205
7,1	0	4,02	10,22
7,201	0	4,09	10,21
7,3	0	4,14	10,215
7,401	0	4,215	10,21
7,5	0	4,25	10,22
7,6	0	4,32	10,215
7,7	0	4,37	10,21
7,801	0	4,415	10,22
7,9	0	4,485	10,215
8	0	4,54	10,215
8,1	0	4,595	10,205
8,2	0	4,65	10,21
8,3	0	4,705	10,21
8,401	0	4,765	10,22
8,5	0	4,825	10,22
8,6	0	4,89	10,205
8,701	0	4,945	10,21
8,8	0	4,98	10,215
8,9	0	5,04	10,22
9,001	0	5,09	10,21
9,1	0	5,155	10,21
9,2	0	5,2	10,21
9,301	0	5,26	10,21
9,4	0	5,32	10,215
9,5	0	5,375	10,21
9,601	0	5,41	10,21
9,7	0	5,48	10,215
9,801	0	5,525	10,21
9,901	0	5,58	10,215
10	0	5,635	10,21
10,1	0	5,68	10,215
10,2	0	5,72	10,215
10,3	0	5,785	10,215
10,4	0	5,825	10,215
10,5	0	5,875	10,205
10,6	0	5,925	10,215
10,7	0	5,975	10,215
10,801	0	6,005	10,22
10,9	0	6,055	10,215
11	0	6,1	10,21
11,101	0	6,145	10,205
11,2	0	6,175	10,21
11,3	0	6,215	10,2
11,4	0	6,21	10,195
11,5	0	6,18	10,21
11,6	0	6,17	10,205
11,701	0	6,14	10,2
11,8	0	6,085	10,21
11,901	0	6,055	10,205
12,001	0	5,995	10,205
12,101	0	5,905	10,215
12,2	0	5,815	10,215
12,3	0	5,695	10,22
12,401	0	5,565	10,21
12,5	0	5,475	10,205
12,601	0	5,38	10,22
12,7	0	5,34	10,21
12,8	0	5,26	10,22
12,901	0	5,195	10,21
13	0	5,165	10,2
13,1	0	5,145	10,205
13,2	0	5,125	10,22
13,301	0	5,175	10,205
13,401	0	5,19	10,22
13,5	0	5,205	10,195
13,601	0	5,155	10,21
13,7	0	5,18	10,21
13,801	0	5,255	10,21
13,9	0	5,24	10,22
14,001	0	5,2	10,22
14,1	0	5,215	10,21
14,201	0	5,22	10,215
14,301	0	5,29	10,21
14,4	0	5,335	10,205
14,5	0	5,275	10,215
14,6	0	5,245	10,21
14,701	0	5,26	10,215
14,8	0	5,305	10,205
14,901	0	5,35	10,215
15,001	0	5,325	10,215
15,1	0	5,36	10,21
15,2	0	5,39	10,215
15,3	0	5,385	10,205
15,4	0	5,26	10,22
15,5	0	5,305	10,22
15,601	0	5,34	10,215
15,7	0	5,375	10,21
15,8	0	5,36	10,215
15,9	0	5,305	10,195
16,001	0	5,34	10,215
16,101	0	5,335	10,21
16,2	0	5,32	10,21
16,3	0	5,425	10,21
16,401	0	5,345	10,21
16,5	0	5,285	10,21
16,6	0	5,285	10,21
16,701	0	5,31	10,215
16,801	0	5,42	10,215
16,9	0	5,375	10,21
17	0	5,305	10,22
17,1	0	5,295	10,215
17,2	0	5,36	10,22
17,301	0	5,425	10,21
17,4	0	5,335	10,21
17,5	0	5,345	10,21
17,6	0	5,315	10,21
17,701	0	5,34	10,21
17,8	0	5,345	10,22
17,9	0	5,415	10,21
18,001	0	5,395	10,21
18,1	0	5,365	10,21
18,2	0	5,345	10,2
18,3	0	5,405	10,215
18,4	0	5,37	10,21
18,501	0	5,33	10,22
18,6	0	5,38	10,21
18,701	0	5,31	10,22
18,8	0	5,315	10,2
18,901	0	5,31	10,22
19	0	5,345	10,21
19,101	0	5,345	10,22
19,201	0	5,28	10,215
19,301	0	5,375	10,215
19,4	0	5,31	10,22
19,5	0	5,425	10,215
19,601	0	5,405	10,215
19,701	0	5,39	10,2
19,8	0	5,315	10,205
19,901	0	5,325	10,21
20,001	0	5,37	10,215
20,1	0	5,275	10,21
20,201	0	5,225	10,21
20,3	0	5,225	10,205
20,401	0	5,24	10,205
20,5	0	5,235	10,21
20,6	0	5,195	10,22
20,701	0	5,205	10,22
20,8	0	5,295	10,215
20,9	0	5,295	10,205
21,001	0	5,365	10,2
21,1	0	5,295	10,22
21,2	0	5,275	10,22
21,3	0	5,35	10,215
21,4	0	5,325	10,22
21,501	0	5,285	10,215
