MIN=0	0	-10	-10
MAX=5,65685424949238	100	10	10
SCALE=5,65685424949238	50	5	5
DEC=2	1	2	2
DEF="Tiempo" t / s	"Nueva magnitud" f_1	"Tensión" U_A1 / V	"Tensión" U_B1 / V
0	0	0	0,14
0,02	0	-0,015	0,135
0,04	0	-0,005	0,14
0,06	0	-0,01	0,135
0,08	0	-0,01	0,135
0,1	0	-0,02	0,12
0,12	0	-0,005	0,14
0,14	0	0	0,14
0,16	0	-0,01	0,135
0,18	0	0	0,14
0,2	0	-0,02	0,125
0,22	0	0,005	0,15
0,24	0	-0,02	0,12
0,26	0	-0,005	0,135
0,28	0	0,01	0,15
0,3	0	-0,005	0,135
0,32	0	-0,01	0,135
0,34	0	0,01	0,15
0,36	0	0	0,14
0,38	0	0	0,145
0,4	0	-0,005	0,135
0,42	0	-0,01	0,135
0,44	0	-0,005	0,135
0,46	0	-0,01	0,13
0,48	0	-0,02	0,125
0,5	0	-0,005	0,14
0,52	0	-0,005	0,13
0,54	0	0,005	0,145
0,56	0	-0,005	0,14
0,58	0	-0,005	0,135
0,6	0	0	0,145
0,62	0	-0,005	0,135
0,64	0	-0,005	0,135
0,66	0	0,01	0,15
0,68	0	-0,005	0,14
0,7	0	-0,005	0,14
0,72	0	-0,02	0,125
0,74	0	0	0,14
0,76	0	0	0,145
0,78	0	-0,01	0,135
0,8	0	-0,005	0,135
0,82	0	-0,005	0,13
0,84	0	-0,01	0,135
0,86	0	-0,005	0,135
0,88	0	0,005	0,145
0,9	0	-0,02	0,125
0,92	0	0	0,14
0,94	0	0,005	0,145
0,96	0	-0,01	0,135
0,98	0	0	0,14
1	0	-0,005	0,135
1,02	0	0,005	0,145
1,04	0	2,455	0,18
1,06	0	2,43	0,16
1,08	0	2,445	0,16
1,1	0	2,44	0,235
1,12	0	2,455	0,205
1,14	0	2,44	0,205
1,16	0	2,435	0,235
1,18	0	2,43	0,17
1,2	0	2,44	0,205
1,22	0	2,455	0,15
1,24	0	2,455	0,22
1,26	0	2,445	0,175
1,28	0	2,445	0,155
1,3	0	2,44	0,205
1,32	0	2,46	0,16
1,34	0	2,455	0,21
1,36	0	2,46	0,22
1,38	0	2,44	0,175
1,4	0	2,455	0,205
1,42	0	2,45	0,16
1,44	0	2,44	0,185
1,46	0	2,455	0,155
1,48	0	2,455	0,22
1,5	0	2,445	0,145
1,52	0	2,44	0,21
1,54	0	2,45	0,165
1,56	0	2,455	0,22
1,58	0	2,445	0,165
1,6	0	2,465	0,21
1,62	0	2,44	0,195
1,64	0	2,445	0,155
1,66	0	2,455	0,21
1,68	0	2,435	0,17
1,7	0	2,455	0,17
1,72	0	2,455	0,19
1,74	0	2,455	0,18
1,76	0	2,465	0,19
1,78	0	2,455	0,205
1,8	0	2,45	0,155
1,82	0	2,445	0,18
1,84	0	2,46	0,21
1,86	0	2,455	0,155
1,88	0	2,445	0,115
1,9	0	2,46	0,18
1,92	0	2,435	0,13
1,94	0	2,445	0,115
1,96	0	2,45	0,175
1,98	0	2,45	0,18
2	0	2,44	0,135
2,02	0	2,465	0,19
2,04	0	2,455	0,195
2,06	0	2,435	0,175
2,08	0	2,44	0,15
2,1	0	2,44	0,195
2,12	0	2,455	0,215
2,14	0	2,45	0,22
2,16	0	2,455	0,2
2,18	0	2,445	0,275
2,2	0	2,455	0,32
2,22	0	2,45	0,325
2,24	0	2,44	0,305
2,26	0	2,46	0,29
2,28	0	2,45	0,33
2,3	0	2,455	0,35
2,32	0	2,45	0,315
2,34	0	2,445	0,31
2,36	0	2,45	0,32
2,38	0	2,445	0,32
2,4	0	2,45	0,365
2,42	0	2,455	0,345
2,44	0	2,44	0,355
2,46	0	2,445	0,325
2,48	0	2,465	0,335
2,5	0	2,455	0,305
2,52	0	2,44	0,36
2,54	0	2,455	0,42
2,56	0	2,455	0,42
2,58	0	2,445	0,365
2,6	0	2,455	0,36
2,62	0	2,455	0,475
2,64	0	2,44	0,595
2,66	0	2,46	0,65
2,68	0	2,46	0,655
2,7	0	2,455	0,64
2,72	0	2,44	0,665
2,74	0	2,44	0,655
2,76	0	2,455	0,77
2,78	0	2,46	0,835
2,8	0	2,465	0,96
2,82	0	2,44	0,955
2,84	0	2,455	1,01
2,86	0	2,465	1,09
2,88	0	2,465	1,115
2,9	0	2,465	1,13
2,92	0	2,445	1,135
2,94	0	2,465	1,17
2,96	0	2,465	1,185
2,98	0	2,46	1,28
3	0	2,465	1,35
3,02	0	2,465	1,37
3,04	0	2,465	1,39
3,06	0	2,455	1,41
3,08	0	2,465	1,42
3,1	0	2,465	1,44
3,12	0	2,445	1,415
3,14	0	2,46	1,42
3,16	0	2,465	1,42
3,18	0	2,46	1,39
3,2	0	2,465	1,39
3,22	0	2,45	1,395
3,24	0	2,455	1,41
3,26	0	2,465	1,49
3,28	0	2,465	1,545
3,3	0	2,465	1,565
3,32	0	2,46	1,575
3,34	0	2,46	1,58
3,36	0	2,465	1,61
3,38	0	2,445	1,6
3,4	0	2,465	1,615
3,42	0	2,45	1,58
3,44	0	2,46	1,595
3,46	0	2,47	1,61
3,48	0	2,465	1,61
3,5	0	2,45	1,615
3,52	0	2,45	1,615
3,54	0	2,465	1,64
3,56	0	2,465	1,68
3,58	0	2,465	1,715
3,6	0	2,465	1,69
3,62	0	2,465	1,72
3,64	0	2,45	1,805
3,66	0	2,465	1,83
3,68	0	2,475	1,88
3,7	0	2,465	1,865
3,72	0	2,45	1,85
3,74	0	2,46	1,89
3,76	0	2,45	1,92
3,78	0	2,455	1,955
3,8	0	2,45	1,895
3,82	0	2,475	1,98
3,84	0	2,46	2,08
3,86	0	2,465	2,08
3,88	0	2,465	2,08
3,9	0	2,465	2,09
3,92	0	2,45	2,08
3,94	0	2,455	2,115
3,96	0	2,47	2,115
3,98	0	2,465	2,125
4	0	2,47	2,12
4,02	0	2,45	2,13
4,04	0	2,465	2,13
4,06	0	2,465	2,155
4,08	0	2,47	2,13
4,1	0	2,465	2,16
4,12	0	2,465	2,15
4,14	0	2,46	2,15
4,16	0	2,45	2,12
4,18	0	2,46	2,13
4,2	0	2,46	2,135
4,22	0	2,465	2,14
4,24	0	2,45	2,115
4,26	0	2,465	2,13
4,28	0	2,465	2,14
4,3	0	2,465	2,135
4,32	0	2,465	2,125
4,34	0	2,46	2,125
4,36	0	2,475	2,15
4,38	0	2,465	2,15
4,4	0	2,47	2,16
4,42	0	2,465	2,16
4,44	0	2,475	2,16
4,46	0	2,46	2,135
4,48	0	2,465	2,145
4,5	0	2,46	2,14
4,52	0	2,465	2,14
4,54	0	2,465	2,14
4,56	0	2,475	2,18
4,58	0	2,46	2,135
4,6	0	2,465	2,15
4,62	0	2,465	2,16
4,64	0	2,46	2,155
4,66	0	2,465	2,16
4,68	0	2,465	2,15
4,7	0	2,45	2,155
4,72	0	2,45	2,165
4,74	0	2,47	2,175
4,76	0	2,465	2,16
4,78	0	2,475	2,17
4,8	0	2,45	2,165
4,82	0	2,46	2,175
4,84	0	2,465	2,19
4,86	0	2,455	2,175
4,88	0	2,46	2,195
4,9	0	2,455	2,175
4,92	0	2,47	2,185
4,94	0	2,465	2,19
4,96	0	2,475	2,22
4,98	0	2,45	2,175
5	0	2,465	2,185
5,02	0	2,46	2,18
5,04	0	2,46	2,185
5,06	0	2,475	2,19
5,08	0	2,46	2,175
5,1	0	2,465	2,19
5,12	0	2,455	2,175
5,14	0	2,465	2,195
5,16	0	2,45	2,155
5,18	0	2,465	2,17
5,2	0	2,46	2,155
